,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
79,005610,001380,006370,010060,024900,003650,003410,007700,036460,026890,036580,005950,017550,000230,004710,005390,009580,010120,001440,023590,003160,011300,009470,017670,008770,000150,011810,004490,004250,009310
80,001380,010060,003410,007700,026890,036580,005950,017550,000230,004710,005390,009580,010120,001440,023590,011300,000150,011810,004490,004250,009310,009150,010620,009420,029460,033240,010600,006890,003720,004140
81,001380,003410,007700,026890,017550,000230,005390,009580,010120,023590,000150,011810,004490,004250,009310,010620,009420,029460,033240,010600,003720,017670,017800,005610,003230,000670,003960,004980,007160,006490
82,001380,003410,007700,026890,017550,000230,005390,009580,023590,000150,004490,004250,009310,010620,029460,033240,010600,003720,017800,003230,000670,003960,007160,006490,001440,005950,017390,015230,033530,033920
83,001380,003410,007700,026890,017550,000230,009580,009310,010620,029460,033240,010600,003230,000670,007160,006490,005950,017390,015230,033530,033920,000270,005610,009420,002350,004710,011300,013580,005430,003650
84,001380,003410,007700,026890,017550,009580,009310,010620,029460,033240,010600,003230,000670,007160,017390,015230,033530,000270,009420,002350,004710,005430,003650,009150,023590,002240,034120,002900,000860,005960
85,001380,003410,026890,017550,009580,009310,029460,033240,010600,003230,000670,017390,015230,000270,002350,005430,009150,002240,034120,000860,005960,010120,000150,007860,005880,005950,004700,004250,006490,000520
86,003410,026890,009310,029460,033240,010600,003230,000670,017390,015230,000270,002350,005430,009150,002240,034120,000860,005960,010120,000150,007860,005950,004700,006490,000520,014680,001440,002900,003160,006890
87,009310,033240,010600,003230,000670,017390,015230,000270,002350,009150,034120,000860,005960,010120,000150,007860,005950,000520,001440,002900,003160,006890,007700,001630,001430,020560,006840,009580,017550,004060
88,009310,010600,003230,017390,015230,000270,002350,034120,000860,005960,010120,007860,005950,000520,001440,002900,006890,007700,001630,006840,009580,002710,000480,003960,005720,010820,003720,010040,005430,004830
89,010600,003230,017390,015230,002350,034120,000860,005960,005950,000520,001440,007700,001630,006840,005720,003720,005430,004830,003550,021240,008770,009420,001430,005740,004690,000430,033530,002780,002450,007120
90,010600,003230,017390,015230,002350,000860,005960,005950,001440,007700,001630,006840,005720,003720,005430,004830,003550,001430,005740,004690,000430,002780,002450,007120,004000,006650,003240,033240,004840,009310
91,003230,017390,002350,000860,005960,005950,001440,001630,006840,003720,005430,005740,004690,002780,002450,007120,006650,003240,033240,004840,000210,016380,020560,005880,001530,003070,008700,000180,009270,009180
92,003230,017390,002350,000860,005960,001440,001630,006840,005430,002780,002450,003240,033240,004840,016380,001530,008700,009270,003550,030200,001800,004020,004000,001230,000430,005010,004250,015230,010820,004140
93,017390,002350,005960,001440,006840,002780,002450,003240,033240,004840,016380,001530,008700,003550,030200,001800,001230,000430,004250,015230,010820,004140,006260,003030,007460,010690,005720,002170,036580,025530
94,017390,002350,005960,001440,002780,002450,003240,033240,004840,001530,008700,003550,030200,001800,001230,000430,004250,015230,010820,004140,006260,010690,005720,025530,004020,002710,003230,005740,004690,029530
95,005960,001440,003240,033240,004840,008700,003550,030200,001800,001230,000430,004250,015230,010820,004140,006260,005720,025530,004020,002710,003230,005740,029530,009450,004430,002810,004360,014280,036580,009270
96,005960,001440,003240,033240,008700,003550,030200,001230,000430,004250,015230,010820,006260,025530,004020,002710,003230,005740,029530,004430,004360,014280,009270,035720,004990,017800,025540,001530,004690,018500
97,005960,003240,033240,008700,003550,030200,001230,004250,015230,010820,004020,002710,003230,005740,029530,004430,004360,014280,004990,025540,001530,004690,001800,018670,009450,005010,016580,002810,003200,036580
98,005960,003240,033240,008700,003550,001230,015230,010820,004020,002710,003230,005740,029530,004430,004360,014280,004990,004690,001800,009450,005010,016580,003200,036580,000880,001440,012510,025860,009580,002450
99,005960,003240,033240,008700,001230,010820,002710,003230,005740,004430,004360,004990,004690,001800,009450,005010,003200,000880,012510,009580,006740,002380,006110,000480,003030,004710,007160,011690,004080,018500
100,005960,003240,033240,008700,001230,010820,005740,004430,004360,004990,004690,001800,009450,005010,003200,000880,009580,006740,002380,000480,003030,004710,007160,011690,010620,014820,005950,025860,014280,005680
101,033240,008700,001230,010820,005740,004430,004990,004690,001800,009450,005010,003200,000880,006740,002380,000480,003030,007160,011690,010620,005950,025860,014280,000270,012510,002030,000430,016580,003070,011330
102,033240,010820,005740,004990,004690,001800,009450,005010,000880,002380,000480,003030,007160,011690,010620,005950,014280,000270,012510,002030,000430,016580,011330,010130,017390,009810,002390,010100,004080,002200
103,033240,010820,005740,004990,004690,001800,005010,000480,003030,007160,011690,010620,005950,014280,000270,002030,000430,011330,010130,017390,009810,002390,010100,004080,002200,003490,004430,006060,008700,000520
104,010820,005740,004990,001800,003030,007160,011690,010620,005950,014280,000270,002030,000430,011330,010130,017390,009810,002390,004080,002200,003490,004430,008700,000520,012630,007700,014680,005880,014580,017550
